received bytes,received packets,sent bytes,sent packets,received bytes per seconds,received packets per seconds,sent bytes per seconds,sent packets per seconds,bytes ratio,packets ratio,bytes per packet
198659,1502,170699,1278,397.318,3.004,341.398,2.556,1.1637970931288408,1.1752738654147106,133.56729264475743
33154,258,144784,1149,66.308,0.516,289.568,2.298,0.22898939109293845,0.2245430809399478,126.00870322019146
194654,1476,167228,1254,389.308,2.952,334.456,2.508,1.1640036357547778,1.1770334928229664,133.35566188197768
200374,1515,171977,1291,400.748,3.03,343.954,2.582,1.1651209173319688,1.1735089078233927,133.21223857474826
199092,1500,171112,1271,398.184,3.0,342.224,2.542,1.1635186310720464,1.1801730920535012,134.62785208497246
188004,1431,159636,1208,376.008,2.862,319.272,2.416,1.1777042772306998,1.1846026490066226,132.14900662251657
193205,1477,165569,1255,386.41,2.954,331.138,2.51,1.166915304193418,1.1768924302788846,131.92749003984065
37930,272,149466,1160,75.86,0.544,298.932,2.32,0.25377008818058955,0.23448275862068965,128.85
196777,1492,168659,1269,393.554,2.984,337.318,2.538,1.166715087839961,1.1757289204097714,132.9070133963751
195184,1475,167203,1253,390.368,2.95,334.406,2.506,1.1673474758228022,1.1771747805267359,133.44213886671986
183152,1444,155099,1224,366.304,2.888,310.198,2.448,1.1808715723505632,1.1797385620915033,126.71486928104575
33805,274,145631,1166,67.61,0.548,291.262,2.332,0.23212777499296167,0.23499142367066894,124.89794168096054
182682,1414,154564,1191,365.364,2.828,309.128,2.382,1.1819181698196217,1.1872376154492024,129.77665827036105
195965,1472,168481,1247,391.93,2.944,336.962,2.494,1.1631281865610958,1.1804330392943063,135.10906174819567
198207,1483,170139,1260,396.414,2.966,340.278,2.52,1.1649709943046567,1.176984126984127,135.03095238095239
189120,1435,161156,1212,378.24,2.87,322.312,2.424,1.173521308545757,1.183993399339934,132.96699669966998
187428,1444,159159,1220,374.856,2.888,318.318,2.44,1.1776148379921965,1.1836065573770491,130.45819672131148
34523,251,146225,1141,69.046,0.502,292.45,2.282,0.23609505898444177,0.21998247151621383,128.15512708150746
197775,1498,169432,1274,395.55,2.996,338.864,2.548,1.1672824495962981,1.1758241758241759,132.99215070643643
196664,1469,169435,1249,393.328,2.938,338.87,2.498,1.1607046950157878,1.176140912730184,135.65652522017615
193180,1450,165052,1224,386.36,2.9,330.104,2.448,1.1704190194605337,1.184640522875817,134.84640522875816
34525,250,145984,1137,69.05,0.5,291.968,2.274,0.2364985203857957,0.2198768689533861,128.39401934916447
200252,1478,171843,1249,400.504,2.956,343.686,2.498,1.1653195067590767,1.1833466773418735,137.58446757405926
194038,1460,165680,1236,388.076,2.92,331.36,2.472,1.1711612747464992,1.1812297734627832,134.0453074433657
195002,1452,166933,1229,390.004,2.904,333.866,2.458,1.1681453038045204,1.1814483319772173,135.82831570382425
184112,1395,156534,1174,368.224,2.79,313.068,2.348,1.176178977091239,1.18824531516184,133.33390119250427
180756,1402,153450,1182,361.512,2.804,306.9,2.364,1.1779472140762464,1.1861252115059222,129.8223350253807
35454,273,146831,1160,70.908,0.546,293.662,2.32,0.24146127180227608,0.2353448275862069,126.57844827586207
191274,1428,163728,1208,382.548,2.856,327.456,2.416,1.168242450894166,1.1821192052980132,135.53642384105962
206828,1491,178756,1271,413.656,2.982,357.512,2.542,1.1570408825438028,1.1730920535011802,140.64201416207712
191795,1459,164449,1239,383.59,2.918,328.898,2.478,1.1662886365985807,1.1775625504439065,132.727199354318
33907,237,145418,1124,67.814,0.474,290.836,2.248,0.23316920876370187,0.21085409252669038,129.37544483985766
191848,1442,164132,1220,383.696,2.884,328.264,2.44,1.1688640850047523,1.181967213114754,134.5344262295082
200267,1513,171734,1287,400.534,3.026,343.468,2.574,1.166146482350612,1.1756021756021755,133.43745143745144
191156,1438,163216,1217,382.312,2.876,326.432,2.434,1.1711841976276836,1.181594083812654,134.11339359079705
198286,1473,170151,1249,396.572,2.946,340.302,2.498,1.1653531275161475,1.179343474779824,136.22978382706165
199072,1488,170887,1263,398.144,2.976,341.774,2.526,1.1649335525815305,1.178147268408551,135.30245447347585
30801,222,142576,1113,61.602,0.444,285.152,2.226,0.21603215127370665,0.19946091644204852,128.1006289308176
186279,1443,158401,1221,372.558,2.886,316.802,2.442,1.1759963636593203,1.1818181818181819,129.73054873054872
204832,1509,177209,1290,409.664,3.018,354.418,2.58,1.1558780874560548,1.169767441860465,137.37131782945735
203656,1483,175336,1258,407.312,2.966,350.672,2.516,1.1615184559930647,1.1788553259141494,139.37678855325913
32883,232,144569,1124,65.766,0.464,289.138,2.248,0.22745540191880695,0.20640569395017794,128.62010676156584
192703,1445,164216,1223,385.406,2.89,328.432,2.446,1.1734727432162517,1.1815208503679477,134.27309893704006
190955,1471,163890,1251,381.91,2.942,327.78,2.502,1.1651412532796388,1.1758593125499601,131.0071942446043
191555,1458,163926,1236,383.11,2.916,327.852,2.472,1.1685455632419506,1.1796116504854368,132.626213592233
181900,1398,154295,1178,363.8,2.796,308.59,2.356,1.178910528533005,1.1867572156196944,130.9804753820034
198715,1482,170553,1255,397.43,2.964,341.106,2.51,1.1651216923771497,1.1808764940239045,135.8988047808765
35290,250,146722,1138,70.58,0.5,293.444,2.276,0.24052289363558294,0.21968365553602812,128.92970123022846
200849,1484,172575,1262,401.698,2.968,345.15,2.524,1.1638360133275387,1.1759112519809827,136.7472266244057
184659,1415,157083,1193,369.318,2.83,314.166,2.386,1.1755505051469606,1.1860854987426654,131.67057837384743
